City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Pusad,IN,74.46,overcast clouds,19.9,77.5833,Bhakti Lodge
648,Faizpur,IN,77.07,overcast clouds,21.1667,75.85,तेज श्री ढाबा
650,Paraiso,CR,75.11,broken clouds,9.8383,-83.8656,Rinconcito Verde
651,Matara,LK,78.64,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
653,Panzhihua,CN,71.49,overcast clouds,26.5851,101.7128,Electric Power Hotel
654,Kolokani,ML,75.92,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
655,Porto Walter,BR,71.51,few clouds,-8.2686,-72.7439,Secretaria de saúde
656,Meulaboh,ID,75.25,overcast clouds,4.1363,96.1285,Kost Pria
659,Lazaro Cardenas,MX,85.39,overcast clouds,17.9583,-102.2,quinta antigua
660,Posse,BR,70.63,few clouds,-14.0931,-46.3694,Pousada das Palmeiras
661,Maues,BR,83.53,broken clouds,-3.3836,-57.7186,Hotel Miramar
662,Yichang,CN,76.91,light rain,30.7144,111.2847,Gezhouba Hotel
664,Obregon,NI,91.49,broken clouds,11.9566,-85.9636,Hostal Casa Aryen
667,Forio,IT,83.82,clear sky,40.7342,13.8646,Hotel Terme Providence
668,Baghdad,IQ,93.11,clear sky,33.3406,44.4009,Baghdad Hotel
672,Ormara,PK,81.72,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
673,Agropoli,IT,84.52,clear sky,40.3469,14.9966,B&B Baia di Trentova
675,Alta Floresta,BR,71.44,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
